base_seed,gate_seed,budget,method,decisions,selected_count,fraction_k2,experts_per_token,precision_positive_delta,mean_selected_delta,median_selected_delta,p90_selected_delta,captured_delta_per_decision,recall_top5,precision_top5,recall_top10,precision_top10,recall_top20,precision_top20
601,11,1.1,MLP,76800,7546,0.09825520833333333,1.0982552083333332,0.575801749271137,0.052563590078305855,0.021484375,0.337890625,0.005164646493891875,0.3377604166666667,0.17187914126689638,0.266015625,0.27073946461701565,0.1935546875,0.3939835674529552
601,11,1.1,margin,76800,7712,0.10041666666666667,1.1004166666666666,0.5570539419087137,0.04558229718465528,0.0089263916015625,0.3427734375,0.0045772223422924675,0.34010416666666665,0.16934647302904565,0.25924479166666664,0.2581690871369295,0.18053385416666667,0.3595695020746888
601,11,1.2,MLP,76800,15262,0.19872395833333334,1.1987239583333333,0.5623116236404141,0.035241682709724026,0.009765625,0.2553222656249998,0.007003366686403751,0.47630208333333335,0.1198401258026471,0.4010416666666667,0.20180841305202463,0.31979166666666664,0.32184510549076134
601,11,1.2,margin,76800,15492,0.20171875,1.20171875,0.5544797314743093,0.03363196313642822,0.00689697265625,0.2890380859374999,0.006784197563926379,0.5580729166666667,0.13832946036664084,0.4484375,0.22230828814872192,0.3353515625,0.33249419054996127
601,11,1.3,MLP,76800,22856,0.29760416666666667,1.2976041666666667,0.5521963598179909,0.026773204242678258,0.0051727294921875,0.2158203125,0.007967817137638727,0.5716145833333334,0.09603605180259013,0.49752604166666664,0.16717710885544276,0.41920572916666665,0.28172033601680085
601,11,1.3,margin,76800,23111,0.30092447916666665,1.3009244791666665,0.5531565055601229,0.026520097587373843,0.00506591796875,0.2509765625,0.007980546553929647,0.70078125,0.11643805979836441,0.59296875,0.19704902427415516,0.4688802083333333,0.3116264982043183
601,22,1.1,MLP,76800,7909,0.10298177083333333,1.1029817708333334,0.580477936528006,0.05550711560993916,0.023193359375,0.33203125,0.005716221059362094,0.3614583333333333,0.1754962700720698,0.28098958333333335,0.27285371096219496,0.20397135416666667,0.3961309900113794
601,22,1.1,margin,76800,7712,0.10041666666666667,1.1004166666666666,0.5570539419087137,0.04558229718465528,0.0089263916015625,0.3427734375,0.0045772223422924675,0.34010416666666665,0.16934647302904565,0.25924479166666664,0.2581690871369295,0.18053385416666667,0.3595695020746888
601,22,1.2,MLP,76800,15707,0.20451822916666668,1.2045182291666667,0.5598140956261539,0.03575953968524356,0.01007080078125,0.2578125,0.007313477732241154,0.5028645833333333,0.12293881708792258,0.42265625,0.20665945120010187,0.336328125,0.328897943592029
601,22,1.2,margin,76800,15492,0.20171875,1.20171875,0.5544797314743093,0.03363196313642822,0.00689697265625,0.2890380859374999,0.006784197563926379,0.5580729166666667,0.13832946036664084,0.4484375,0.22230828814872192,0.3353515625,0.33249419054996127
601,22,1.3,MLP,76800,23698,0.30856770833333336,1.3085677083333334,0.5457844543843362,0.027170822744943368,0.00537109375,0.2177734375,0.008384038507938386,0.6002604166666666,0.09726559203308296,0.5270833333333333,0.17081610262469407,0.44440104166666666,0.288041184910119
601,22,1.3,margin,76800,23111,0.30092447916666665,1.3009244791666665,0.5531565055601229,0.026520097587373843,0.00506591796875,0.2509765625,0.007980546553929647,0.70078125,0.11643805979836441,0.59296875,0.19704902427415516,0.4688802083333333,0.3116264982043183
601,33,1.1,MLP,76800,7605,0.0990234375,1.0990234375,0.5839579224194609,0.05138669688007222,0.02001953125,0.328125,0.005088487366835277,0.34036458333333336,0.17186061801446417,0.2623697916666667,0.26495726495726496,0.19075520833333334,0.38527284681130836
601,33,1.1,margin,76800,7712,0.10041666666666667,1.1004166666666666,0.5570539419087137,0.04558229718465528,0.0089263916015625,0.3427734375,0.0045772223422924675,0.34010416666666665,0.16934647302904565,0.25924479166666664,0.2581690871369295,0.18053385416666667,0.3595695020746888
601,33,1.2,MLP,76800,15576,0.2028125,1.2028125,0.5620184899845917,0.03430596436361931,0.0087890625,0.255859375,0.006957678397496541,0.4875,0.12018489984591679,0.40872395833333336,0.20152799178222908,0.325390625,0.3208782742681048
601,33,1.2,margin,76800,15492,0.20171875,1.20171875,0.5544797314743093,0.03363196313642822,0.00689697265625,0.2890380859374999,0.006784197563926379,0.5580729166666667,0.13832946036664084,0.4484375,0.22230828814872192,0.3353515625,0.33249419054996127
601,33,1.3,MLP,76800,23059,0.3002473958333333,1.3002473958333334,0.5558783988898044,0.027732045452273923,0.005859375,0.2197265625,0.00832647442817688,0.590625,0.09835639012966738,0.5186197916666667,0.17273082093759487,0.43359375,0.28882432022203913
601,33,1.3,margin,76800,23111,0.30092447916666665,1.3009244791666665,0.5531565055601229,0.026520097587373843,0.00506591796875,0.2509765625,0.007980546553929647,0.70078125,0.11643805979836441,0.59296875,0.19704902427415516,0.4688802083333333,0.3116264982043183
602,11,1.1,MLP,76800,8064,0.105,1.105,0.5823412698412699,0.05829614661042652,0.019775390625,0.3660644531249999,0.0061210953940947855,0.3619791666666667,0.17237103174603174,0.28489583333333335,0.27132936507936506,0.21106770833333333,0.4020337301587302
602,11,1.1,margin,76800,7749,0.1008984375,1.1008984375,0.5985288424312815,0.05035450911118855,0.0064697265625,0.3664062499999998,0.005080691290398439,0.3372395833333333,0.16711833785004518,0.2565104166666667,0.2542263517873274,0.1828125,0.3623693379790941
602,11,1.2,MLP,76800,15995,0.20826822916666668,1.2082682291666667,0.559987496092529,0.03767324479232173,0.0087890625,0.2722167968750002,0.007846139979859194,0.5010416666666667,0.12028758987183495,0.422265625,0.20275085964363865,0.3406901041666667,0.32716473898093157
602,11,1.2,margin,76800,15510,0.201953125,1.201953125,0.5788523533204384,0.03917872332358345,0.004027366638183594,0.3203125,0.007912265608708063,0.590625,0.14622823984526112,0.47408854166666664,0.2347517730496454,0.34856770833333334,0.3451966473243069
